duplicateRate,trial,design,groundTruthTotal,actualTotal,matches
0,0,correct,10109,10109,true
0,0,naive,10109,10109,true
0,1,correct,9958,9958,true
0,1,naive,9958,9958,true
0,2,correct,10382,10382,true
0,2,naive,10382,10382,true
0,3,correct,9487,9487,true
0,3,naive,9487,9487,true
0,4,correct,9524,9524,true
0,4,naive,9524,9524,true
0,5,correct,9719,9719,true
0,5,naive,9719,9719,true
0,6,correct,10444,10444,true
0,6,naive,10444,10444,true
0,7,correct,9085,9085,true
0,7,naive,9085,9085,true
0,8,correct,9756,9756,true
0,8,naive,9756,9756,true
0,9,correct,10280,10280,true
0,9,naive,10280,10280,true
0,10,correct,9966,9966,true
0,10,naive,9966,9966,true
0,11,correct,10304,10304,true
0,11,naive,10304,10304,true
0,12,correct,10422,10422,true
0,12,naive,10422,10422,true
0,13,correct,9853,9853,true
0,13,naive,9853,9853,true
0,14,correct,9481,9481,true
0,14,naive,9481,9481,true
0,15,correct,9933,9933,true
0,15,naive,9933,9933,true
0,16,correct,9666,9666,true
0,16,naive,9666,9666,true
0,17,correct,9831,9831,true
0,17,naive,9831,9831,true
0,18,correct,10077,10077,true
0,18,naive,10077,10077,true
0,19,correct,10101,10101,true
0,19,naive,10101,10101,true
0.1,0,correct,9470,9470,true
0.1,0,naive,9470,10085,false
0.1,1,correct,10315,10315,true
0.1,1,naive,10315,11164,false
0.1,2,correct,9570,9570,true
0.1,2,naive,9570,10200,false
0.1,3,correct,9531,9531,true
0.1,3,naive,9531,10906,false
0.1,4,correct,10654,10654,true
0.1,4,naive,10654,11668,false
0.1,5,correct,10441,10441,true
0.1,5,naive,10441,11130,false
0.1,6,correct,9925,9925,true
0.1,6,naive,9925,10824,false
0.1,7,correct,10847,10847,true
0.1,7,naive,10847,11910,false
0.1,8,correct,10571,10571,true
0.1,8,naive,10571,11960,false
0.1,9,correct,10052,10052,true
0.1,9,naive,10052,11375,false
0.1,10,correct,10404,10404,true
0.1,10,naive,10404,11179,false
0.1,11,correct,9853,9853,true
0.1,11,naive,9853,10873,false
0.1,12,correct,9615,9615,true
0.1,12,naive,9615,10335,false
0.1,13,correct,10433,10433,true
0.1,13,naive,10433,11547,false
0.1,14,correct,9969,9969,true
0.1,14,naive,9969,11067,false
0.1,15,correct,10403,10403,true
0.1,15,naive,10403,11239,false
0.1,16,correct,10332,10332,true
0.1,16,naive,10332,11582,false
0.1,17,correct,10110,10110,true
0.1,17,naive,10110,11939,false
0.1,18,correct,9891,9891,true
0.1,18,naive,9891,10741,false
0.1,19,correct,10196,10196,true
0.1,19,naive,10196,11245,false
0.5,0,correct,10824,10824,true
0.5,0,naive,10824,15847,false
0.5,1,correct,10195,10195,true
0.5,1,naive,10195,14586,false
0.5,2,correct,11119,11119,true
0.5,2,naive,11119,16227,false
0.5,3,correct,10446,10446,true
0.5,3,naive,10446,15389,false
0.5,4,correct,10115,10115,true
0.5,4,naive,10115,15218,false
0.5,5,correct,9725,9725,true
0.5,5,naive,9725,14857,false
0.5,6,correct,10010,10010,true
0.5,6,naive,10010,15338,false
0.5,7,correct,10255,10255,true
0.5,7,naive,10255,14834,false
0.5,8,correct,10015,10015,true
0.5,8,naive,10015,14938,false
0.5,9,correct,9976,9976,true
0.5,9,naive,9976,15278,false
0.5,10,correct,10745,10745,true
0.5,10,naive,10745,16086,false
0.5,11,correct,9872,9872,true
0.5,11,naive,9872,14593,false
0.5,12,correct,10254,10254,true
0.5,12,naive,10254,16005,false
0.5,13,correct,10107,10107,true
0.5,13,naive,10107,14924,false
0.5,14,correct,10179,10179,true
0.5,14,naive,10179,15145,false
0.5,15,correct,10425,10425,true
0.5,15,naive,10425,16140,false
0.5,16,correct,9592,9592,true
0.5,16,naive,9592,14767,false
0.5,17,correct,9685,9685,true
0.5,17,naive,9685,15005,false
0.5,18,correct,9594,9594,true
0.5,18,naive,9594,14806,false
0.5,19,correct,10058,10058,true
0.5,19,naive,10058,14318,false
0.9,0,correct,9749,9749,true
0.9,0,naive,9749,18457,false
0.9,1,correct,9914,9914,true
0.9,1,naive,9914,18945,false
0.9,2,correct,9936,9936,true
0.9,2,naive,9936,18757,false
0.9,3,correct,10306,10306,true
0.9,3,naive,10306,19679,false
0.9,4,correct,9136,9136,true
0.9,4,naive,9136,17529,false
0.9,5,correct,10372,10372,true
0.9,5,naive,10372,19322,false
0.9,6,correct,9805,9805,true
0.9,6,naive,9805,18520,false
0.9,7,correct,10067,10067,true
0.9,7,naive,10067,19374,false
0.9,8,correct,9692,9692,true
0.9,8,naive,9692,18537,false
0.9,9,correct,10554,10554,true
0.9,9,naive,10554,19568,false
0.9,10,correct,10086,10086,true
0.9,10,naive,10086,19435,false
0.9,11,correct,10724,10724,true
0.9,11,naive,10724,20271,false
0.9,12,correct,9399,9399,true
0.9,12,naive,9399,17326,false
0.9,13,correct,10604,10604,true
0.9,13,naive,10604,19966,false
0.9,14,correct,10396,10396,true
0.9,14,naive,10396,19658,false
0.9,15,correct,10211,10211,true
0.9,15,naive,10211,19455,false
0.9,16,correct,10112,10112,true
0.9,16,naive,10112,19220,false
0.9,17,correct,9793,9793,true
0.9,17,naive,9793,19199,false
0.9,18,correct,9779,9779,true
0.9,18,naive,9779,18342,false
0.9,19,correct,9678,9678,true
0.9,19,naive,9678,17775,false
